InventoryID,ProductID,CurrentStock,ReorderLevel,StockStatus,ProductName,Category,Price,Stock,InventoryValue
54,54,66,21,High Stock,T-Shirt,Home Appliances,73732,166,4866312
55,55,249,31,High Stock,Sofa,Clothing,78877,26,19640373
56,56,274,7,High Stock,Monitor,Home Appliances,56973,64,15610602
57,57,71,29,High Stock,Table,Furniture,56775,198,4031025
58,58,268,7,High Stock,Printer,Furniture,64101,113,17179068
59,59,257,38,High Stock,Jacket,Home Appliances,53057,147,13635649
60,60,232,15,High Stock,Printer,Furniture,39915,46,9260280
61,61,298,31,High Stock,T-Shirt,Home Appliances,5215,133,1554070
62,62,294,8,High Stock,Table,Books,1999,12,587706
63,63,211,49,High Stock,Keyboard,Electronics,8578,139,1809958
64,64,274,31,High Stock,Jeans,Clothing,39890,20,10929860
65,65,213,31,High Stock,Jeans,Furniture,45697,59,9733461
66,66,206,14,High Stock,Book,Electronics,49255,174,10146530
67,67,28,33,Medium Stock,Monitor,Home Appliances,64647,101,1810116
68,68,116,9,High Stock,Monitor,Electronics,44439,78,5154924
69,69,47,9,Medium Stock,Table,Electronics,73068,29,3434196
70,70,141,48,High Stock,Mouse,Clothing,33758,88,4759878
71,71,167,32,High Stock,Keyboard,Electronics,41850,67,6988950
72,72,61,40,High Stock,Table,Books,18412,115,1123132
73,73,206,47,High Stock,Jeans,Electronics,3100,66,638600
74,74,143,47,High Stock,Mouse,Home Appliances,75287,126,10766041
75,75,115,18,High Stock,Monitor,Furniture,7351,63,845365
76,76,171,7,High Stock,Laptop,Home Appliances,43656,154,7465176
77,77,113,5,High Stock,Jacket,Books,859,74,97067
78,78,121,9,High Stock,Camera,Electronics,50231,139,6077951
79,79,84,12,High Stock,Jeans,Home Appliances,23199,161,1948716
80,80,237,27,High Stock,Mouse,Furniture,15170,166,3595290
81,81,45,42,Medium Stock,Camera,Furniture,78206,116,3519270
82,82,291,34,High Stock,Mouse,Furniture,14023,50,4080693
83,83,180,47,High Stock,Mouse,Clothing,35625,88,6412500
84,84,200,39,High Stock,Sofa,Clothing,44422,83,8884400
85,85,167,31,High Stock,T-Shirt,Books,18665,170,3117055
86,86,43,34,Medium Stock,Monitor,Clothing,44170,58,1899310
87,87,227,32,High Stock,Tablet,Home Appliances,70350,92,15969450
88,88,118,37,High Stock,Tablet,Electronics,47641,45,5621638
89,89,289,48,High Stock,Speaker,Books,14887,137,4302343
90,90,83,6,High Stock,Camera,Home Appliances,72707,97,6034681
91,91,56,30,High Stock,Sofa,Home Appliances,15905,120,890680
92,92,70,35,High Stock,Mouse,Books,7877,129,551390
93,93,256,39,High Stock,Sofa,Clothing,78935,135,20207360
94,94,116,41,High Stock,Laptop,Books,58434,55,6778344
95,95,222,40,High Stock,Chair,Home Appliances,73675,181,16355850
96,96,50,25,Medium Stock,Jacket,Home Appliances,42429,116,2121450
97,97,276,8,High Stock,Table,Clothing,48469,43,13377444
98,98,56,44,High Stock,Mouse,Electronics,51387,171,2877672
99,99,167,9,High Stock,Laptop,Clothing,52507,105,8768669
100,100,260,38,High Stock,Table,Furniture,7835,40,2037100
